image,features,amount of iterations,output 0,output 1,flag,username,timestamp
,feminine,1,/content/drive/MyDrive/repos/art-style-challenge/src/flagged/output 0/tmpqgp1bnu0.png,,,,2023-01-17 17:34:34.002414
,feminine,1,/content/drive/MyDrive/repos/art-style-challenge/src/flagged/output 0/tmpidetahea.png,,,,2023-01-17 17:34:35.514244
